"Demo Notice Enabled","Demo Notice Enabled"
"Demo Notice Message","Demo Notice Message"
"Short message displayed on the frontend notice ribbon (26 characters max).","Short message displayed on the frontend notice ribbon (26 characters max)."
"Choose which side of the frontend website to display the notice ribbon.","Choose which side of the frontend website to display the notice ribbon."
"You can browse and place orders, but nothing will be honored.","You can browse and place orders, but nothing will be honored."
"Left","Top Left"
"Right","Top Right"
"Top Left","Top Left"
"Top Right","Top Right"
"Bottom Left","Bottom Left"
"Bottom Right","Bottom Right"
"Small","Small"
"Large","Large"

