"Bottom Left","Bottom Left"
"Bottom Right","Bottom Right"
"Choose the size of the notice ribbon.","Choose the size of the notice ribbon."
"Choose which side of the frontend website to display the notice ribbon.","Choose which side of the frontend website to display the notice ribbon."
"Enabled","Enabled"
"Large","Large"
"Left","Top Left"
"Location","Location"
"Message","Message"
"Right","Top Right"
"Short message displayed on the frontend notice ribbon (26 characters max).","Short message displayed on the frontend notice ribbon (26 characters max)."
"Size","Size"
"Small","Small"
"Top Left","Top Left"
"Top Right","Top Right"
"You can browse and place orders, but nothing will be honored.","You can browse and place orders, but nothing will be honored."
